,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
0,BjpPatashpur,2021-01-15 21:35:24,Patashpur Bidhansava,19,264,43467,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
1,keshobdasbjp,2021-01-15 10:39:50,"Jangipur, India",318,264,12495,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
2,SouravB50899943,2021-01-15 09:11:32,"HALDIA,Purba Medinipur",43,4,749,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
3,ChanchalSu,2021-01-15 08:57:47,,34,27,1429,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
4,chakrabortty65,2021-01-15 08:52:19,,43,55,6591,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
5,LKM7462,2021-01-15 07:07:05,Panskura,44,17,4324,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
6,swatiatrest,2021-01-15 02:44:27,,765,1465,17689,0,"Oh no! It seems that apart from ruining many lives, the physical copy of the first issue of Udbodhan (1899) has been damaged in the horrendous fire that ravaged Bagbazar yesterday. Here's hoping the Belur Math has more copies. #print 

https://t.co/L7PrE0C8Zh",['print']
7,S_k_chaudhary,2021-01-14 18:44:22,"Jalpaiguri, India",398,546,106812,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
8,kushuggupta,2021-01-14 18:18:26,"खुरजा, उत्तर प्रदेश",3668,4814,38382,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
9,SrimantiG,2021-01-14 18:12:18,"Kolkata, India",223,929,6223,7,"Today distributed some blankets, biscuit packets &amp; puffed rice packets to the homeless families of Baghbazar fire incident. @BJPMM4Bengal @keyakahe @TheUntamedFire @paulagnimitra1 @BJP4Bengal https://t.co/4PdTD8POas",[]
10,PINTUDA75632338,2021-01-14 16:55:06,"Haldia, India",56,10,826,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
11,Sudarsu23689648,2021-01-14 15:57:29,West bengal,147,110,6412,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
12,Lakshma38799599,2021-01-14 12:31:55,"Kolkata, India",25,12,475,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
13,Chef_arindam,2021-01-14 11:48:58,INDIA,293,248,6272,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
14,Geetanj79731544,2021-01-14 11:45:30,,40,4,1553,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
15,iamskshabbir,2021-01-14 11:20:11,Kolkata,1710,239,25648,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
16,SomenMu69450120,2021-01-14 10:27:57,"Kolkata, India",40,2,6,0,@CPKolkata Fire breaks out in Baghbazar. https://t.co/EsTQAGSmPs,[]
17,NiveditaNarayan,2021-01-14 10:26:51,ভারতবর্ষ,118,1799,29542,18,"West Bengal: Fire breaks out at a colony in Baghbazar area of Kolkata, eight fire tenders present at the spot

More details awaited",[]
18,MohanMahapatr11,2021-01-14 10:00:21,,212,79,3637,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
19,dpsisi,2021-01-14 09:52:50,,2759,1028,139847,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
20,shahwal_sachin,2021-01-14 09:47:29,"Singrauli, India",1331,42,964,1,"Mamata Banerjee Visits Gutted Kolkata Slum, Promises To Rebuild Shanties https://t.co/Q0JRrQmnGm https://t.co/6ROug5WItz",[]
21,ndtvfeed,2021-01-14 09:47:03,,2,260912,304347,1,"Mamata Banerjee Visits Gutted Kolkata Slum, Promises To Rebuild Shanties https://t.co/Q0JRrQmnGm https://t.co/6ROug5WItz",[]
22,linachakrabort3,2021-01-14 09:41:39,Kolkata,587,447,8135,1,"A massive fire broke out today in Kolkata's Baghbazar as several shanties were gutted in the fire following multiple cylinder blasts. 25 fires tenders were rushed to the spot and firefighters are trying to douse the flames.

#TheAssamTribune #BaghbazarFire

@KolkataPolice https://t.co/gIOdPnhl0k",[]
23,IndiaNewsBangla,2021-01-14 09:28:16,,56,14,159,0,Breaking। CM Mamata Banerjee Reached Baghbazar where the Blaze destroyed homes of 100 families। #BREAKING @AITCofficial @MamataOfficial @BJP4Bengal https://t.co/Guvzqt6pqM,['BREAKING']
24,Chef_arindam,2021-01-14 09:11:47,INDIA,293,248,6272,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
25,skp__2016,2021-01-14 08:48:51,City of Joy👍,1188,4368,166142,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
26,dibyendumondal,2021-01-14 08:28:50,Delhi,1472,468,8247,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
27,dey_rivu,2021-01-14 08:21:25,,668,90,2622,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
28,ranaalikash,2021-01-14 08:20:44,World,1222,697,1082800,0,"West Bengal Chief Minister Mamata Banerjee on Thursday visited Baghbazar slum, where about 100 houses were gutted on Wednesday evening. Ms. Banerjee assured those affected by the major fire that the Kollkata Municipal Corporation would construct and rest… https://t.co/SQrJn2vexI https://t.co/SRiYX1VcTF",[]
29,SanyalGouri,2021-01-14 08:13:21,Howrah,92,6,557,0,I am pained to hear that baghbazar  shanties have ravaged by fire last evening. Let us hope that residents get help from all quarters to resume their daily life soon and forget this nightmare .,[]
30,TheSteamedMomos,2021-01-14 08:09:28,New Delhi/ Ranchi,1237,145,5357,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
31,Pradipta1512,2021-01-14 08:07:26,,771,39,4336,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
32,SanyalGouri,2021-01-14 08:05:19,Howrah,92,6,557,0,@pooja_news Very sad to know that every resident has lost their home &amp; belongings in the devasting fire in baghbazar,[]
33,SreyashiDey,2021-01-14 08:04:17,"Kolkata, India",538,5905,10595,6,"CM #MamataBanerjee today reached #Baghbazar where the blaze destroyed homes of 100 families living in shanties. #KMC will rehabilitate them and alternate arrangements have been made for now. Food, blanket &amp; shelter to be provided by the state govt in the time being. https://t.co/6PzPLykAcw","['MamataBanerjee', 'Baghbazar', 'KMC']"
34,manishdigital_,2021-01-14 07:59:14,"Noida, Uttar Pradesh",534,754,4015,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
35,sourav_sngupta,2021-01-14 07:47:03,"Kolkata, India",695,396,35689,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
36,pooja_news,2021-01-14 07:33:12,"Kolkata, India",3049,13939,15219,9,West Bengal Chief Minister Mamata Banerjee reaches Baghbazar where fire broke out yesterday &amp; almost all shanties were completely ravaged by fire. Banerjee assured KMC will provide houses in the same place &amp; meanwhile alternative arrangements for them to stay have been made. https://t.co/4hmb5Pae7U,[]
37,Bittuverma7,2021-01-14 07:05:36,"Kolkata, India",6407,13156,179145,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
38,SrimantiG,2021-01-14 07:03:00,"Kolkata, India",223,929,6223,0,"Major #fire brokep-out in #Kolkata's #Baghbazar on Wednesday; 27 fire tenders rushed to spot, no casualties reported . @BJPMM4Bengal state president @paulagnimitra1 &amp; North Kolkata district BJMM President Smt Shilpi Mukherjee with many karyakartas rushed to the spot. https://t.co/rMY829PLh8","['fire', 'Kolkata', 'Baghbazar']"
39,dotto_Arnob,2021-01-14 06:49:50,"Kolkata, West Bengal",2161,277,1147,0,"I heard about the incident regarding Baghbazar in the morning. It is tragic. The government should consider the matter with sympathy.

#pathetic #Kolkata #fire #Baghbazar 

https://t.co/Z0oaRsXKcS","['pathetic', 'Kolkata', 'fire', 'Baghbazar']"
40,hritamsays,2021-01-14 06:33:15,"Kolkata, India",39,8,20,13,"Major fire at a slum in north Kolkata's Baghbazar, several shanties gutted, 20 fire tenders at spot https://t.co/oB1PcZbKkP",[]
41,DailyhuntApp,2021-01-14 06:30:04,India,373,32540,33919,0,"Major #fire break-out in #Kolkata's #Baghbazar on Wednesday; 25 fire tenders rushed to spot, no casualties reported https://t.co/d1huJLRJ7x","['fire', 'Kolkata', 'Baghbazar']"
42,Guptaji_Chandan,2021-01-14 05:07:22,,965,137,5858,0,"@iamharshpansari @Zee24Ghanta @calcutta_news @abpanandatv Elections are coming.
And back to back from duttabad to baghbazar all slum areas 
Some thing is not right",[]
43,Abhishe76974105,2021-01-14 04:44:42,,47,10,1104,3,"Fierce fire near Sharda temple Baghbazar.
@BJYMinWB @KhanSaumitra https://t.co/JoP3uNbDOx",[]
44,NtvTeluguLive,2021-01-14 04:30:00,Hyderabad,6,127831,84423,0,"Massive fire Breaks Out At Kolkata's Baghbazar, Several injured 

#Kolkata #Baghbazar #NTVNews #NTVTelugu https://t.co/daha84zFvp","['Kolkata', 'Baghbazar', 'NTVNews', 'NTVTelugu']"
45,SanjuktaChoudh5,2021-01-14 04:11:25,,1044,273,3903,0,More than 100 shanties in Baghbazar were gutted in a fire on Wednesday evening. https://t.co/pctqxHMeRQ,[]
46,SkAlam2014,2021-01-14 03:51:22,WEST BENGAL,837,72,6911,0,@MamataOfficial @FirhadHakim @aitmc KINDLY HELP PEOPLE OF BAGHBAZAR MISHAP... THEY NEED YOU.,[]
47,MohdUmair00786,2021-01-14 03:29:51,,2539,4988,150324,22,"Massive fire in Central Kolkata's Baghbazar.
15 fire engines at the venue.
Blasts reported opposite Baghbazar Women College.
Roads Blocked:- Girish Park to CR Avenue.

#Bagbazar https://t.co/R6pZx84Y1v",[]
48,naskar_prasanta,2021-01-14 03:18:50,"West Bengal, India",1706,365,45108,13,"Major fire at a slum in north Kolkata's Baghbazar, several shanties gutted, 20 fire tenders at spot https://t.co/oB1PcZbKkP",[]
49,Imtony_26,2021-01-14 03:04:05,"Kolkata, India",272,62,5370,13,"Major fire at a slum in north Kolkata's Baghbazar, several shanties gutted, 20 fire tenders at spot https://t.co/oB1PcZbKkP",[]
50,AmiHolamRohan,2021-01-14 02:57:59,"Birati, Kolkata",4720,94,50812,2,"Massive fire at Kolkata's Baghbazar.

🙏 #Baghbazar #Kolkata https://t.co/cfuJnaUYMA","['Baghbazar', 'Kolkata']"
51,Hussain88846117,2021-01-14 02:34:33,,341,19,374,3,"A fire broke out at a colony in #Baghbazar area of Kolkata on Wednesday. As many as 25 fire tenders were rushed to the spot. There are no reports yet on any casualties.
Catch more here: https://t.co/CmDtl3HS8w https://t.co/AKEcwTGMzb",['Baghbazar']
52,SANGRAM38134786,2021-01-14 02:31:11,"BALASORE, ODISHA ",182,115,280,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
53,surojithansda,2021-01-14 02:25:51,kolkata,45,59,154,0,"Massive fire breaks out at Bagbazar slum area in north #Kolkata spread to Mayer Bari at least 25 fire tenders at the scene, no casualties reported so far. #Baghbazar https://t.co/3pyKtNnjxq","['Kolkata', 'Baghbazar']"
54,DisneyNews20,2021-01-14 02:20:06,surat,64,10,17791,0,Fire kolkata Baghbazar cylinders explode fire tenders operations damage casualties latest news https://t.co/s7lD851be5,[]
55,RABINATHJHA,2021-01-14 01:55:18,"Peterborough, England",2529,241,11454,2,"RAF deployed at #Baghbazar. 

Angry locals say the fire engines reached late. Fire still not under control. Media has also been attacked by the locals at the spot. 

Fire Minister currently in Gangasagar taking stock of the preparations of the pilgrimage. https://t.co/lA7ML4dTyA",['Baghbazar']
56,mithu796311,2021-01-14 01:48:23,मृग कस्तुरी 🙏🚩ॐ,197,4347,1030375,28,"Kolkata: Fire breaks out at Baghbazar area, 10 fire tenders present at the spot https://t.co/Gcc2l8d3gl https://t.co/2pZ4fuhnLt",[]
57,RathodRakesh_,2021-01-14 01:43:04,"Gujarat, India",67,12,26,8,"Massive Fire At #Kolkata’s #Baghbazar, fire tenders at the spot. https://t.co/BnFyA7pbpv","['Kolkata', 'Baghbazar']"
58,OldandN,2021-01-14 01:07:15,,288,43,17300,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
59,bae_zzaar,2021-01-14 00:48:32,Global,982,337,12715,0,@its_raf05 Baghbazar ....stay safe!,[]
60,aritrasingha1,2021-01-14 00:31:59,kolkata,325,33,168,2,"West Bengal: Massive fire breaks out at Baghbazar area in north Kolkata, reports @aritrasingha1 

https://t.co/26mhLyUw2j",[]
61,Debapra44473935,2021-01-14 00:22:01,,298,70,6135,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
62,TimesofNewsHUB,2021-01-13 23:15:13,,101,338,324667,0,"Fire breaks out at Kolkata’s Baghbazar, cylinders explode; 20 fire tenders rushed https://t.co/tYbyy9xHX8",[]
63,VaniChoudhary01,2021-01-13 22:08:35,India,166,8,212,0,"Massive Fire At Kolkata's Baghbazar, 25 Fire Engines At The Spot..... https://t.co/iJWxeestEI",[]
64,isn7news,2021-01-13 21:34:46,meerut,4997,974,4321,0,"Massive Fire At Kolkata’s Baghbazar, 25 Fire Engines At The Spot https://t.co/IDn4XUKFz3",[]
65,BjpPatashpur,2021-01-13 20:25:30,Patashpur Bidhansava,19,264,43467,37,"Prayers for Baghbazar , Kolkata . Slum people .
Multiple cylinder blasts reported in the slums opposite Baghbazar women College. https://t.co/iN9Zmn5VhW",[]
66,isaurabhshukla,2021-01-13 20:02:04,Delhi NCR,564,17886,24653,4,"Massive fire in #Kolkata's Baghbazar area, 20 fire tenders rushed to the spot @NewsMobileIndia https://t.co/sxaLtKez5u",['Kolkata']
